-2.467,0.024109,-0.54499,-6.3823,-5.5386,4.492,1.9461,-5.1458,-3.5832,2.969,-6.4269,2.7604,-2.2864,-4.3474,3.515,-1.3755
-4.6149,-1.1945,6.5738,1.6888,2.54,-6.0286,-0.57799,4.0375,-5.1626,-1.8555,-2.249,3.0269,2.4878,5.5431,-2.2567,3.5313
-2.3246,-10.066,-6.7572,-3.3312,1.8753,1.9448,-0.11016,-8.3298,-1.4088,1.3178,1.7028,-2.7049,9.4456,-2.1452,-0.57953,0.18441
-8.3352,-4.8078,-4.0007,3.0185,5.1172,3.5233,-1.6023,-6.0921,-4.4587,5.5995,2.5788,-0.88671,-9.88,6.6789,5.3289,-1.5412
-5.1095,2.7468,-1.2184,0.33216,-2.9926,-4.368,-5.472,-5.776,6.6659,3.0278,1.9315,-8.8612,-4.1023,1.7484,-1.285,6.6427
-5.2514,3.1198,6.4531,9.0292,-2.4413,3.3529,-2.9205,7.669,-6.5966,-7.6071,1.4441,-2.2113,-0.94101,-6.2385,5.0442,0.22507
-6.7891,1.4964,4.0262,-8.2172,-4.2655,4.3987,-2.5394,6.4137,2.6217,-0.13272,2.7886,5.1222,0.17194,-1.3804,-5.3179,2.2556
-0.25959,1.9634,-2.5036,2.4617,9.4187,-5.519,-2.9383,-0.079067,7.4104,-5.1938,-7.0262,0.54867,-2.8127,-0.83001,-2.0159,-3.7883
-2.7236,-0.21295,-7.1013,5.1084,-6.3961,-2.7075,3.248,-3.9786,-11.518,2.9006,2.5601,0.55654,-7.7383,-5.8498,-6.9196,2.0934
-7.6015,-3.0128,1.8566,-1.6777,-9.5803,-7.1939,5.4687,3.1592,7.0937,3.2611,6.2652,0.42188,-1.468,1.231,3.2644,-7.6172
