-2.6937,-0.035378,0.16206,-0.3688,-0.52051,0.72805,-3.9822,0.042278,0.86046,3.0823,1.6273,-1.7009,-1.8595,2.7992,2.1278,0.99438
2.4334,-0.083004,0.97738,2.8996,3.6151,-1.4078,-0.36413,-1.4297,-0.58409,-0.46648,-2.2383,0.83684,1.4151,-2.0479,-0.24268,-2.0776
3.2889,0.57552,-0.79904,0.66893,0.14144,1.0327,-1.875,-1.4828,-3.5089,-1.6192,2.6591,-1.1237,0.12023,-1.3677,2.926,2.3483
-0.49507,4.7253,2.4192,-0.94023,-1.3115,0.45803,-1.1331,0.68728,-0.88775,-0.39361,-2.367,-0.88762,3.0878,-1.676,0.66552,-1.6874
-2.7139,-3.3105,-3.1805,1.0481,-1.2096,0.88211,2.2596,0.43007,-0.84898,-2.4525,0.54023,2.7479,0.70352,0.95383,-1.9877,1.0703
-0.84714,2.5158,0.27146,-1.7837,2.2298,0.92734,2.4595,-0.24515,-0.76803,3.9974,-2.0485,0.90722,-4.1792,-1.2052,-0.93232,-1.0283
2.5152,-3.8154,-1.2946,0.3076,-1.227,0.55862,-0.029001,-0.80953,1.0855,1.0388,-3.7565,-1.3394,-0.23268,2.6052,0.16812,3.5674
-1.9472,0.90242,1.2066,2.5747,-0.4057,-4.2754,1.0415,0.308,-0.99331,-2.3947,1.2048,0.096045,-0.1165,0.98874,1.7629,-1.385
2.6027,-2.8116,2.7006,-2.4412,-0.81979,0.48708,-0.28048,0.55926,2.6354,-0.23481,2.2062,-0.079254,-0.51072,-2.149,-1.7439,-2.0099
-3.1171,1.7528,-1.531,-1.9819,-0.34792,-2.5067,0.022845,-0.26325,3.7094,-2.1838,2.181,2.0477,1.3065,-0.64888,0.76698,0.84837
